@relation 'IBM-HR-Employee-Attrition_preprocess-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C36-Llast-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C36-Llast-weka.filters.unsupervised.attribute.Remove-R36-weka.filters.supervised.instance.SMOTE-C0-K5-P120.0-S1-weka.filters.unsupervised.attribute.Remove-R1-5,7-9,11-12,14-15,17-24,26,28-29,32-35'

@attribute Education numeric
@attribute EnvironmentSatisfaction numeric
@attribute JobInvolvement numeric
@attribute JobSatisfaction numeric
@attribute RelationshipSatisfaction numeric
@attribute StockOptionLevel numeric
@attribute WorkLifeBalance numeric
@attribute YearsAtCompany numeric

@data
1,3,3,1,3,1,3,0
1,3,3,4,3,2,2,4
3,1,4,1,1,1,4,3
1,2,3,1,4,1,4,4
1,1,4,3,4,0,3,2
1,1,3,3,2,0,3,4
3,4,4,3,4,1,3,2
1,4,2,3,1,0,3,5
1,3,3,2,3,0,1,3
2,4,3,4,3,0,4,5
3,4,3,1,1,1,2,1
2,1,4,3,4,1,2,4
3,2,3,4,1,1,2,2
1,2,3,3,3,1,3,5
4,4,3,3,4,1,4,5
1,1,3,2,2,0,3,5
3,4,3,4,3,2,3,2
3,2,4,4,2,2,3,6
3,1,3,3,4,1,3,6
2,1,3,3,1,0,3,2
3,3,2,2,3,3,3,1
1,1,2,4,4,0,2,5
1,4,2,3,2,2,3,4
2,4,3,2,1,1,1,1
1,4,3,3,3,2,3,5
3,2,3,1,3,0,2,0
2,4,3,2,3,1,3,1
2,3,2,1,2,3,3,1
1,1,3,4,3,0,3,6
3,3,4,3,4,1,3,5
1,4,1,3,3,1,3,1
1,2,3,1,2,3,4,6
3,1,3,4,4,1,3,2
2,2,2,3,2,0,2,4
3,3,2,3,4,0,3,6
1,4,2,4,3,2,3,2
3,1,2,3,4,0,3,2
3,1,3,3,4,2,3,4
2,2,4,1,4,2,3,6
2,2,2,4,2,0,3,5
3,1,3,1,3,1,3,2
1,2,3,3,3,0,3,7
1,1,4,1,3,0,2,4
1,3,3,1,4,0,3,5
1,3,2,1,1,0,4,5
2,3,2,2,3,3,3,1
1,4,3,4,2,1,4,7
4,3,3,4,2,0,3,4
1,3,1,4,4,0,3,1
3,4,3,2,4,0,2,2
1,4,3,4,3,3,2,3
1,1,4,3,2,0,2,3
3,1,3,4,2,1,2,3
2,1,2,1,1,0,3,3
1,4,4,3,3,2,3,7
3,3,3,2,3,0,3,2
1,4,3,3,3,1,2,2
3,1,1,3,3,0,2,1
3,3,2,4,3,1,2,2
3,3,2,2,3,0,2,5
2,1,3,1,3,1,3,5
4,1,3,2,4,1,3,3
4,4,2,4,2,0,3,8
3,3,3,3,2,1,3,8
4,2,3,3,2,1,2,7
2,1,3,3,1,2,3,0
3,3,1,4,2,0,1,1
3,3,3,4,3,1,3,3
2,1,1,4,1,1,3,2
3,4,2,1,3,0,2,4
2,3,2,3,1,1,3,8
3,3,2,1,2,0,3,7
2,4,4,4,2,0,3,8
2,2,1,1,4,0,3,2
3,1,3,1,2,1,3,3
1,1,2,3,3,2,3,5
2,1,2,1,1,2,3,5
1,1,2,4,4,0,3,4
3,3,4,1,4,0,3,7
4,4,1,3,3,3,4,3
2,4,3,2,3,0,3,5
3,3,3,4,1,0,3,5
2,2,2,3,3,1,2,1
3,3,4,4,1,1,3,7
3,3,3,1,4,0,2,7
3,4,2,3,4,0,3,4
1,1,3,2,4,1,3,2
4,4,3,1,4,1,3,1
3,4,3,3,4,0,3,9
3,4,3,2,4,1,1,2
3,3,2,3,4,1,2,1
3,3,3,2,4,1,2,5
3,4,3,2,4,0,2,7
1,3,2,1,3,1,3,2
3,4,3,3,4,0,3,7
3,3,3,2,2,0,2,4
3,4,3,3,1,0,3,5
1,3,3,2,4,1,3,5
4,2,3,2,1,1,3,8
2,4,3,2,2,1,3,5
4,1,2,3,3,2,2,5
1,3,3,1,2,1,3,4
4,1,2,4,4,0,3,4
2,3,3,1,4,0,3,9
3,4,2,1,1,0,1,7
1,3,3,4,2,1,3,4
1,3,2,4,2,1,3,9
3,4,3,4,3,3,2,0
3,2,3,3,3,0,3,1
4,3,3,2,2,1,3,2
4,1,3,4,2,1,3,3
5,1,1,3,4,3,3,3
3,4,2,3,3,1,3,4
3,1,3,1,4,2,2,9
2,1,3,3,2,3,3,5
3,3,4,4,2,1,3,1
3,4,2,4,4,0,3,6
4,4,3,3,4,0,3,8
1,2,3,1,2,0,4,5
3,4,2,1,1,2,3,7
3,2,4,3,1,0,3,3
3,4,3,4,3,0,2,4
3,3,3,4,3,0,2,6
2,4,3,4,3,0,2,5
3,4,2,1,4,1,2,7
2,1,4,3,2,0,2,8
4,2,3,2,3,1,2,5
3,1,2,2,1,0,3,1
3,4,3,4,1,0,3,7
3,3,2,3,2,0,3,4
4,3,3,3,3,0,2,2
3,2,3,3,2,0,4,5
3,3,3,4,3,1,1,5
4,1,3,3,3,0,1,0
2,2,4,1,3,0,3,8
4,1,1,4,4,0,2,3
4,2,3,4,4,0,3,7
2,3,3,1,4,1,3,10
2,1,1,2,4,0,3,7
4,3,3,3,4,0,2,2
2,2,2,4,4,1,3,5
4,1,3,4,2,0,3,4
3,3,3,3,2,1,3,2
2,2,2,1,1,0,2,10
3,3,3,3,4,0,4,8
2,1,3,3,4,1,2,4
3,1,2,2,1,2,3,1
3,4,3,2,2,3,2,9
1,1,2,2,1,0,1,5
3,3,2,3,4,1,3,3
1,3,3,4,4,0,2,1
4,4,2,1,3,3,3,6
4,4,3,3,3,0,2,4
3,4,2,4,2,1,3,2
3,4,3,1,2,0,2,3
3,3,1,4,1,3,3,9
3,3,2,1,3,1,3,5
3,4,3,1,4,0,3,5
3,1,3,3,4,1,4,3
2,3,2,1,3,0,2,0
3,1,2,3,4,1,1,1
3,3,3,1,4,0,3,4
1,3,1,2,2,2,2,8
3,3,3,2,3,3,3,1
3,3,3,4,3,1,4,5
2,3,3,4,2,1,3,3
3,2,3,2,4,1,3,1
2,3,2,4,3,1,3,7
2,4,3,3,4,0,3,2
3,3,3,3,3,0,2,5
3,3,2,4,1,1,2,4
2,4,2,3,4,0,3,9
4,2,4,1,3,1,3,10
1,4,3,3,1,1,3,10
3,3,3,3,4,0,2,6
1,2,3,4,4,1,3,11
1,3,2,4,3,0,2,4
3,3,3,4,1,0,3,6
2,4,3,4,4,1,3,3
3,1,2,2,2,2,3,0
2,2,3,4,1,0,2,10
4,2,1,1,4,0,2,7
5,2,2,4,3,0,3,3
1,4,2,2,1,2,3,7
3,4,3,3,1,1,2,4
3,4,3,4,4,0,3,3
4,2,2,3,3,0,3,10
5,3,2,2,2,0,4,2
3,4,3,4,2,2,4,3
2,2,3,3,1,1,2,6
4,2,1,4,4,1,3,10
3,3,3,3,3,0,3,1
3,4,3,2,4,2,3,2
3,2,3,3,1,1,2,8
2,2,2,1,4,1,3,1
3,2,2,3,3,3,3,3
1,1,2,4,3,3,3,4
3,3,3,4,2,1,3,3
3,4,3,2,4,2,2,7
1,2,2,4,3,1,2,10
1,4,2,1,1,1,1,11
1,2,3,4,1,1,3,10
1,2,1,4,1,1,2,5
3,1,3,4,1,3,3,3
3,3,3,4,2,2,3,6
3,4,2,4,2,2,2,7
3,2,3,3,1,2,3,7
3,2,2,1,1,0,2,10
1,3,3,4,1,0,3,8
3,1,3,2,1,0,1,5
3,3,2,3,3,2,3,10
1,4,3,2,3,3,3,3
4,1,2,1,3,0,1,9
1,3,1,1,3,1,3,7
3,3,4,3,1,2,2,1
1,2,3,1,4,0,3,10
1,1,3,4,4,1,4,6
3,3,2,3,3,0,3,5
3,1,2,2,2,1,2,10
4,4,3,3,3,1,3,5
3,2,1,2,3,0,3,2
3,4,4,3,4,0,4,3
3,4,2,1,3,1,3,1
3,1,2,1,4,3,3,2
1,4,3,4,2,0,4,11
1,4,1,3,4,2,3,7
1,4,2,2,4,0,3,1
3,4,3,1,2,0,3,3
3,3,4,1,4,0,3,1
3,1,3,1,1,1,2,5
4,1,3,4,2,3,4,2
2,4,2,2,1,1,3,4
4,4,2,1,2,0,1,5
2,4,2,3,1,0,3,10
1,4,2,4,3,2,2,10
3,3,2,4,1,3,3,11
2,3,2,2,2,3,2,11
3,3,3,4,4,0,1,11
3,1,3,3,3,0,2,5
3,4,3,1,4,1,3,3
1,2,2,4,4,0,3,5
3,2,3,4,3,1,3,10
3,3,3,1,3,2,3,12
3,4,3,1,3,0,3,5
4,3,2,1,3,0,2,6
2,4,3,4,4,2,3,10
3,4,2,3,3,3,3,10
2,4,3,3,2,1,4,2
1,3,3,2,1,1,3,1
3,2,3,3,2,0,3,5
3,3,3,4,3,1,1,5
4,3,3,1,3,0,3,9
3,3,3,4,3,0,2,11
1,4,3,2,1,0,3,3
4,2,2,1,3,1,4,1
4,2,2,4,2,1,2,5
2,3,3,3,1,1,4,8
3,1,3,3,2,0,3,5
2,2,4,1,3,3,2,8
3,2,3,2,1,0,3,3
3,3,3,1,3,1,2,6
3,3,2,3,1,1,3,10
4,3,3,1,3,3,3,4
4,3,3,3,1,3,2,10
2,3,3,3,3,0,3,8
3,1,2,4,1,1,3,9
4,4,3,1,2,2,3,3
1,4,3,3,3,2,2,2
3,3,3,3,2,2,2,1
3,2,2,1,4,1,3,10
4,3,3,2,2,1,3,4
3,2,2,2,2,1,2,6
1,2,3,4,2,1,2,10
4,4,2,1,4,0,3,9
3,3,2,4,3,1,2,4
2,3,2,1,1,1,3,7
3,3,4,3,3,1,3,7
3,1,3,3,2,0,3,7
3,2,3,4,3,0,2,1
2,4,3,2,3,0,2,12
1,1,3,3,4,1,2,5
4,3,3,2,2,0,3,1
4,2,1,3,2,0,2,7
3,2,1,3,3,1,3,2
4,3,1,3,4,1,3,5
4,2,3,3,1,1,3,2
2,3,2,2,2,0,4,5
3,4,3,2,3,1,2,2
3,2,4,4,2,1,2,8
4,3,3,4,3,1,3,5
3,1,2,1,4,0,3,2
4,3,3,4,2,1,1,2
3,4,3,4,4,3,3,7
4,3,3,4,3,0,2,11
4,3,2,2,4,0,3,2
2,2,3,1,2,1,1,13
2,4,2,1,3,1,3,4
3,1,3,3,1,0,3,1
1,2,3,4,3,0,4,6
4,2,3,1,3,0,1,3
4,4,3,4,2,1,3,6
4,2,2,3,2,0,4,7
2,4,3,3,4,1,2,9
3,4,3,4,3,2,1,9
1,3,3,1,3,1,3,4
3,3,4,4,1,1,3,2
3,3,3,3,3,1,2,2
2,3,3,1,4,0,2,6
3,3,2,1,2,0,3,10
4,4,3,3,1,1,2,10
3,4,3,2,1,0,4,3
3,3,2,4,3,0,4,1
4,4,3,3,4,2,2,10
4,2,1,3,2,0,3,1
5,1,3,2,3,0,4,3
3,1,2,2,3,0,4,1
2,1,3,4,1,1,3,13
5,3,4,2,1,0,3,10
2,4,4,2,4,0,3,3
3,2,3,4,3,1,1,2
3,4,3,3,1,0,1,7
4,4,3,1,4,0,3,5
4,1,3,4,1,2,3,10
4,2,3,3,4,1,4,5
3,1,3,3,3,1,3,5
4,1,3,3,1,3,3,1
4,1,2,4,1,2,3,12
4,1,3,1,4,2,3,3
5,4,4,1,3,0,3,1
3,2,3,3,1,1,3,10
2,3,3,4,4,1,3,5
3,1,4,3,2,1,2,2
2,3,3,1,4,1,4,4
4,1,3,4,3,0,3,10
1,4,1,4,3,3,3,1
2,1,3,3,3,1,3,2
3,2,3,1,2,0,3,9
2,4,3,4,3,0,2,7
2,1,4,2,4,2,2,6
3,2,3,2,2,2,3,10
4,2,3,3,1,0,3,11
1,4,3,1,4,0,3,1
2,4,1,4,4,3,4,8
3,2,3,4,4,0,3,9
4,4,1,4,3,0,2,14
2,3,3,2,1,1,3,4
3,4,2,3,4,0,1,3
4,3,3,4,1,0,3,3
1,4,2,1,4,0,3,6
3,4,2,3,3,1,2,13
2,3,2,2,4,0,3,13
4,1,4,4,3,0,2,7
3,3,3,2,3,1,3,8
4,4,4,3,4,0,3,4
4,1,3,4,4,1,2,6
3,4,3,4,4,0,2,10
2,3,3,4,4,0,3,7
4,1,3,4,4,2,3,10
3,3,2,3,3,1,3,14
4,2,3,4,3,1,2,5
2,3,4,3,3,1,2,5
3,4,3,4,2,1,3,3
2,2,3,2,4,1,3,10
4,3,3,1,3,1,4,8
4,4,3,3,2,0,3,8
1,3,3,1,3,3,3,1
2,4,3,3,4,0,3,8
3,3,4,4,3,2,4,10
2,4,3,3,1,1,3,10
1,3,3,2,1,3,2,3
5,4,3,4,3,1,2,4
2,4,2,2,1,1,3,7
4,4,3,1,2,1,2,6
4,2,4,4,4,2,3,3
3,4,3,2,3,2,2,9
4,4,3,2,1,0,3,1
3,1,3,3,1,1,2,5
2,1,1,2,2,0,3,0
3,4,1,3,3,1,1,4
4,2,3,2,2,0,3,7
4,4,3,4,3,0,4,0
4,3,2,2,3,0,2,2
2,1,4,3,1,0,3,4
4,3,3,4,2,1,3,5
4,3,2,2,3,0,3,6
4,2,2,2,2,1,3,2
4,3,3,4,3,2,3,14
3,4,3,1,4,0,3,4
4,4,3,3,3,0,3,8
3,3,3,4,4,0,3,1
3,3,4,1,1,2,3,5
2,1,3,4,3,0,3,15
2,3,3,2,1,1,4,7
3,3,3,4,1,0,4,3
3,4,3,2,4,1,3,8
3,3,3,4,3,1,1,5
4,3,2,4,3,1,2,2
4,4,3,2,2,2,3,10
3,2,2,4,3,0,2,7
3,4,3,3,2,0,3,1
1,2,3,3,4,0,4,7
1,1,1,4,1,3,3,4
5,1,4,3,3,1,3,6
4,3,3,3,4,0,3,5
3,1,3,1,1,0,3,10
4,4,3,4,3,0,2,10
3,3,3,3,4,0,4,13
3,1,3,1,3,0,3,3
2,4,3,2,3,1,4,4
4,3,2,1,2,0,3,3
3,2,2,4,1,0,3,5
3,4,3,3,4,0,3,10
1,2,3,4,1,0,3,3
4,3,4,2,1,1,3,6
1,2,2,4,4,0,2,2
3,4,2,4,3,1,3,3
3,4,3,2,3,1,3,3
4,1,3,1,1,0,3,5
3,2,3,3,4,1,3,5
3,2,3,3,1,1,2,10
3,1,3,4,2,1,3,14
5,4,4,3,4,2,3,9
1,2,3,4,1,0,4,5
3,4,3,1,1,2,3,4
4,1,2,2,4,0,3,5
5,4,3,3,1,0,3,0
3,4,2,2,4,0,3,5
4,2,3,3,2,1,3,15
4,1,3,1,4,1,1,2
4,4,3,4,3,2,3,6
3,2,4,2,4,3,3,14
3,4,3,2,4,0,2,11
3,4,3,2,4,2,2,9
4,4,4,1,2,1,3,10
4,2,3,3,2,0,2,10
2,2,2,3,3,3,2,1
2,2,3,4,1,1,3,9
2,2,3,4,3,1,3,2
4,1,3,2,3,0,3,12
1,2,3,1,3,0,3,4
2,1,3,2,3,0,3,5
4,1,3,3,3,0,3,16
4,3,2,2,3,1,3,1
3,3,2,1,4,0,3,11
4,3,3,3,4,1,3,4
2,4,3,2,4,0,3,3
1,4,2,3,3,0,2,10
4,4,3,3,4,1,4,5
4,4,2,1,2,1,3,11
3,1,4,4,2,0,2,5
4,3,3,3,1,1,3,3
2,4,1,3,4,1,2,2
4,4,2,3,3,1,3,7
3,2,3,1,3,3,3,3
4,4,4,4,4,0,3,10
2,2,2,4,4,1,3,6
3,3,3,3,4,2,3,8
5,2,3,4,4,1,2,10
3,4,2,2,2,0,4,8
2,2,3,3,4,0,3,5
5,2,3,1,3,1,3,0
4,2,4,4,3,0,3,4
4,3,2,1,3,0,3,6
2,3,3,1,2,1,3,3
4,3,2,4,3,0,3,5
2,3,3,4,3,1,1,3
3,2,3,2,2,2,3,1
4,2,4,4,4,1,2,15
4,3,3,3,4,1,3,1
1,1,3,4,3,0,2,6
4,3,2,4,4,3,3,0
2,4,3,3,4,0,2,3
3,3,4,3,4,0,2,1
3,3,3,1,4,0,3,3
3,3,3,2,3,2,4,11
3,3,2,2,4,2,4,10
3,4,3,4,4,1,2,9
2,3,3,1,4,0,4,10
3,2,3,3,1,2,3,8
4,3,3,4,4,0,4,14
4,4,3,1,3,2,3,4
3,4,2,2,1,1,2,5
4,1,3,3,4,0,3,2
3,4,1,1,4,0,3,13
3,2,3,1,4,2,2,14
3,4,2,3,4,0,3,10
4,1,3,4,3,0,1,1
4,2,3,4,2,1,2,2
4,4,2,3,2,1,2,8
4,3,4,4,1,1,3,9
3,4,3,2,3,1,3,11
2,2,2,4,3,1,4,15
3,2,2,4,2,0,3,10
4,4,4,4,1,3,3,5
3,4,3,3,3,1,3,15
2,4,1,4,1,0,3,2
4,4,3,1,3,1,2,7
3,3,3,4,4,3,3,5
1,4,2,4,3,0,2,4
4,3,2,4,2,0,3,15
4,4,3,3,3,1,2,8
3,2,4,3,1,0,4,4
3,1,4,2,3,1,3,5
3,4,3,4,1,0,3,2
2,3,3,4,3,1,3,1
1,4,4,4,4,0,3,1
2,3,2,1,3,1,3,4
4,3,3,1,3,1,3,2
3,2,3,1,4,1,2,3
4,3,2,1,2,0,3,15
3,2,2,3,1,0,3,6
5,3,3,2,1,2,3,10
2,2,2,3,1,0,3,1
3,2,3,2,4,0,3,6
3,3,3,3,1,0,4,10
3,2,4,2,2,1,2,7
3,3,3,2,3,2,2,11
4,3,3,2,4,0,3,16
4,3,2,2,3,0,3,1
3,4,1,3,3,0,3,5
3,4,3,3,3,0,3,8
3,2,3,3,3,0,3,11
3,1,3,3,4,0,3,5
2,1,2,4,4,0,3,3
4,2,1,4,2,0,3,17
3,3,2,3,3,2,3,1
4,4,3,1,1,1,4,1
4,1,3,4,2,1,2,3
4,4,4,3,3,0,3,2
1,3,2,1,4,0,2,6
4,4,3,2,1,1,2,10
3,4,2,2,1,0,3,13
3,3,3,3,2,0,3,5
4,4,3,4,2,1,3,10
4,3,3,3,3,1,2,16
2,4,3,4,4,1,3,5
4,3,3,3,2,0,1,5
4,4,2,3,2,1,3,8
3,3,2,2,2,1,4,7
4,4,2,4,2,1,4,2
4,3,3,1,4,3,3,7
2,3,2,4,2,1,2,13
1,3,3,3,4,0,3,3
4,3,3,3,2,0,3,9
3,4,2,4,2,1,3,9
4,4,3,3,3,1,2,4
2,3,3,4,3,0,3,2
1,4,3,3,1,1,3,1
3,4,2,2,4,0,1,11
3,4,2,1,2,0,3,3
3,1,3,1,4,1,3,1
4,1,3,3,3,0,3,5
3,2,4,3,4,2,2,10
2,3,2,4,4,1,2,1
5,2,4,1,4,0,3,16
4,3,3,3,4,1,3,14
3,4,2,1,3,0,3,13
2,1,1,4,4,2,2,2
4,1,2,4,3,0,4,5
4,4,3,3,2,1,3,7
3,3,3,4,4,0,3,10
2,2,3,4,3,1,3,7
4,2,1,3,2,1,4,5
2,4,2,2,4,0,3,3
4,2,3,1,4,1,1,5
4,3,3,4,4,0,3,10
4,4,3,3,3,1,3,2
4,2,3,3,2,0,3,10
4,3,3,4,3,0,3,9
4,3,3,3,4,2,4,10
4,3,1,4,4,1,3,4
3,3,3,3,2,2,2,7
4,2,2,1,4,1,4,1
3,3,3,3,2,3,3,17
3,2,2,2,3,0,3,6
3,4,2,3,1,1,2,1
3,2,4,4,2,0,3,1
2,2,3,4,3,1,3,9
2,4,3,2,3,0,2,8
1,2,3,4,1,0,3,8
2,4,3,2,4,0,4,13
3,4,3,4,3,1,3,15
3,3,3,2,4,0,3,8
4,3,4,4,4,2,3,1
4,2,3,2,3,1,3,9
5,4,3,4,2,0,3,1
4,1,2,4,1,1,3,13
3,4,3,3,2,1,3,2
2,2,2,3,2,2,3,10
4,2,3,4,4,0,2,10
2,2,2,2,3,1,3,3
3,1,4,1,1,1,3,8
4,1,2,1,2,0,3,10
3,3,3,2,1,1,3,9
3,3,3,2,2,1,3,5
2,2,3,4,4,1,2,18
1,3,3,4,1,1,2,16
4,2,3,4,3,0,3,6
1,3,2,4,1,1,3,16
4,1,3,4,4,2,3,7
3,1,3,3,2,1,2,1
5,4,2,4,2,0,2,14
4,3,1,3,3,1,3,7
3,3,3,2,3,0,2,11
4,3,3,2,4,0,3,16
4,4,3,3,1,0,3,7
3,1,4,1,4,1,2,15
4,1,3,2,4,0,3,5
4,1,2,4,3,0,2,10
4,3,2,1,1,2,2,3
4,2,3,3,1,0,3,1
4,1,4,1,4,1,3,3
4,3,3,3,2,2,3,3
4,2,3,1,3,2,3,3
3,1,3,2,3,0,3,4
4,4,2,3,3,0,3,3
4,1,3,3,2,2,2,3
4,3,3,4,3,0,2,13
5,2,2,1,2,3,3,2
3,4,3,1,4,1,3,12
4,2,2,3,1,1,3,10
2,3,2,2,3,2,1,4
3,1,2,4,3,2,3,9
2,4,3,2,2,3,3,4
4,2,2,4,1,1,2,6
2,3,4,4,3,1,3,5
2,4,2,3,2,0,3,0
4,1,2,3,3,1,4,7
4,1,3,3,1,0,4,5
2,3,2,4,4,1,4,1
3,3,3,4,1,0,3,5
3,2,4,1,1,1,2,8
3,2,3,4,3,3,3,10
4,1,3,4,3,1,3,9
2,3,2,1,1,1,2,3
3,1,3,3,2,2,3,1
4,3,3,4,2,1,4,5
4,1,3,4,1,2,3,5
3,4,3,4,2,0,3,17
3,2,3,4,3,3,2,4
2,4,3,4,3,2,2,6
3,3,4,1,1,2,3,7
3,4,3,1,3,1,2,18
4,3,3,2,4,0,2,1
5,2,3,3,1,2,3,13
3,2,3,4,4,0,4,6
4,1,3,2,4,1,3,9
4,2,3,2,2,1,2,6
3,4,3,3,3,1,2,3
3,3,3,3,3,1,3,10
2,4,4,4,1,0,3,1
1,4,3,1,2,2,2,5
4,4,2,3,4,2,3,1
2,3,3,4,2,1,3,5
2,1,3,2,4,0,3,10
4,1,2,3,3,0,1,14
2,1,1,2,1,0,1,1
3,4,3,2,1,0,2,4
4,4,2,4,3,3,3,1
2,3,2,4,3,2,3,6
3,4,2,4,2,1,2,14
1,3,3,3,4,0,3,6
3,1,3,3,1,0,3,3
2,3,4,3,1,0,1,6
3,1,3,4,1,0,3,10
3,3,3,3,1,3,2,4
3,2,3,2,1,1,1,8
4,3,1,4,3,2,2,6
2,2,2,2,1,2,3,5
2,3,3,2,3,0,2,10
4,4,3,1,2,0,1,10
3,4,3,4,3,0,3,3
5,4,3,4,4,0,3,10
3,2,1,4,4,3,3,13
2,3,3,4,3,0,3,2
4,4,3,3,2,0,3,1
3,4,3,4,1,1,1,7
1,2,3,1,2,0,3,1
3,1,3,3,3,2,2,16
2,4,2,4,4,1,3,8
4,4,3,4,2,1,3,2
2,1,2,2,3,1,3,10
2,3,2,4,2,1,3,11
3,3,3,3,3,1,3,1
1,3,3,1,4,0,2,0
4,2,4,4,3,0,2,9
3,3,3,3,4,0,4,1
5,4,3,3,2,1,1,1
4,1,4,1,4,0,3,15
3,1,2,1,3,1,2,4
3,2,2,2,4,1,3,2
3,4,3,1,2,1,3,15
3,3,3,4,2,0,3,5
1,3,3,3,2,1,2,2
4,2,3,4,3,0,3,1
4,3,3,3,1,1,3,2
1,3,2,3,1,1,2,19
4,3,2,3,2,2,3,8
2,4,3,2,3,0,3,1
3,3,4,3,4,1,4,7
2,2,3,1,4,1,3,7
3,4,4,3,4,3,3,4
4,3,3,3,3,0,3,6
3,3,3,2,1,2,3,5
3,3,3,2,4,1,3,9
3,2,3,2,2,0,4,3
2,4,2,3,4,1,4,5
3,4,3,4,4,2,4,13
2,4,3,3,4,1,2,0
2,3,2,2,2,1,2,6
3,2,1,4,3,1,3,1
2,4,2,3,2,1,3,5
3,1,3,2,4,3,3,11
3,4,2,2,3,1,3,20
2,2,3,4,4,2,4,5
3,1,2,1,1,0,2,1
4,4,3,2,2,1,3,6
4,4,3,2,1,2,3,15
4,1,2,3,4,1,3,8
3,2,1,3,1,1,3,18
2,1,3,4,3,1,3,10
3,4,3,4,3,1,4,1
4,4,2,3,3,1,4,15
4,3,3,3,3,3,3,3
3,3,4,4,1,3,2,18
1,3,3,1,4,0,3,21
2,4,3,3,1,0,2,1
1,2,3,3,3,1,3,21
1,3,3,3,1,1,3,8
4,4,2,3,1,0,3,20
3,3,4,2,3,1,1,8
3,4,2,4,3,2,3,5
5,1,4,3,4,0,3,8
1,4,2,4,3,1,3,21
3,4,3,1,3,0,3,21
3,1,3,4,4,3,3,18
3,3,3,2,3,0,2,5
3,3,3,1,1,0,3,5
2,1,3,3,1,0,3,8
4,1,2,4,4,2,4,5
3,2,3,2,4,0,3,2
3,4,4,3,1,1,3,7
5,2,3,1,4,3,3,7
2,3,2,3,4,1,3,10
3,1,3,3,4,0,1,9
3,4,3,4,4,1,3,9
3,3,3,4,4,1,3,2
4,4,3,4,2,3,3,2
4,1,1,3,3,1,3,3
4,2,3,1,1,0,3,20
1,1,3,4,1,0,3,7
3,4,3,4,3,0,2,6
1,2,2,4,1,1,2,20
1,4,2,1,1,1,3,7
3,2,3,2,1,1,3,20
4,3,2,4,1,1,2,12
1,4,3,3,2,1,3,20
2,3,3,4,3,1,4,7
5,4,2,4,4,1,1,3
2,1,3,4,1,2,3,9
2,1,3,3,4,1,3,21
4,4,4,3,3,1,3,7
2,3,2,3,1,2,3,6
2,4,3,2,3,2,3,5
4,3,3,3,4,0,3,20
3,2,3,3,3,0,3,20
3,3,1,1,3,1,3,1
4,1,2,3,4,0,3,1
4,1,2,2,2,1,2,1
4,4,3,2,4,1,3,1
3,2,4,2,4,0,2,1
3,3,3,1,2,1,2,7
3,3,2,3,1,0,4,20
4,2,3,3,3,0,2,18
2,3,2,4,4,1,1,1
4,2,3,2,4,3,3,0
3,2,2,2,2,1,4,5
