@relation IBM-HR-Employee-Attrition-weka.filters.supervised.instance.SMOTE-C0-K5-P120.0-S1-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C38-Llast-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C37-Llast-weka.filters.unsupervised.attribute.Remove-R37-38-weka.filters.unsupervised.instance.RemovePercentage-P20.0

@attribute Age numeric
@attribute Attrition {Yes,No}
@attribute BusinessTravel {Travel_Rarely,Travel_Frequently,Non-Travel}
@attribute DailyRate numeric
@attribute Department {Sales,'Research & Development','Human Resources'}
@attribute DistanceFromHome numeric
@attribute Education numeric
@attribute EducationField {'Life Sciences',Other,Medical,Marketing,'Technical Degree','Human Resources'}
@attribute EmployeeCount numeric
@attribute EmployeeNumber numeric
@attribute EnvironmentSatisfaction numeric
@attribute Gender {Female,Male}
@attribute HourlyRate numeric
@attribute JobInvolvement numeric
@attribute JobLevel numeric
@attribute JobRole {'Sales Executive','Research Scientist','Laboratory Technician','Manufacturing Director','Healthcare Representative',Manager,'Sales Representative','Research Director','Human Resources'}
@attribute JobSatisfaction numeric
@attribute MaritalStatus {Single,Married,Divorced}
@attribute MonthlyIncome numeric
@attribute MonthlyRate numeric
@attribute NumCompaniesWorked numeric
@attribute Over18 {Y}
@attribute OverTime {Yes,No}
@attribute PercentSalaryHike numeric
@attribute PerformanceRating numeric
@attribute RelationshipSatisfaction numeric
@attribute StandardHours numeric
@attribute StockOptionLevel numeric
@attribute TotalWorkingYears numeric
@attribute TrainingTimesLastYear numeric
@attribute WorkLifeBalance numeric
@attribute YearsAtCompany numeric
@attribute YearsInCurrentRole numeric
@attribute YearsSinceLastPromotion numeric
@attribute YearsWithCurrManager numeric
@attribute Class_Attrition {Yes,No}

@data
57,No,Travel_Rarely,593,'Research & Development',1,4,Medical,1,482,4,Male,88,3,2,'Healthcare Representative',3,Married,6755,2967,2,Y,No,11,3,3,80,0,15,2,3,3,2,1,2,No
40,No,Travel_Rarely,1171,'Research & Development',10,4,'Life Sciences',1,483,4,Female,46,4,1,'Laboratory Technician',3,Married,2213,22495,3,Y,Yes,13,3,3,80,1,10,3,3,7,7,1,7,No
33,Yes,Travel_Rarely,350,Sales,5,3,Marketing,1,485,4,Female,34,3,1,'Sales Representative',3,Single,2851,9150,1,Y,Yes,13,3,2,80,0,1,2,3,1,0,0,0,Yes
46,No,Non-Travel,1144,'Research & Development',7,4,Medical,1,487,3,Female,30,3,2,'Manufacturing Director',3,Married,5258,16044,2,Y,No,14,3,3,80,0,7,2,4,1,0,0,0,No
41,Yes,Travel_Frequently,143,Sales,4,3,Marketing,1,488,1,Male,56,3,2,'Sales Executive',2,Single,9355,9558,1,Y,No,18,3,3,80,0,8,5,3,8,7,7,7,Yes
50,No,Travel_Rarely,1046,'Research & Development',10,3,'Technical Degree',1,491,4,Male,100,2,3,'Healthcare Representative',4,Single,10496,2755,6,Y,No,15,3,4,80,0,20,2,3,4,3,1,3,No
40,Yes,Travel_Rarely,575,Sales,22,2,Marketing,1,492,3,Male,68,2,2,'Sales Executive',3,Married,6380,6110,2,Y,Yes,12,3,1,80,2,8,6,3,6,4,1,0,Yes
31,No,Travel_Rarely,408,'Research & Development',9,4,'Life Sciences',1,493,3,Male,42,2,1,'Research Scientist',2,Single,2657,7551,0,Y,Yes,16,3,4,80,0,3,5,3,2,2,2,2,No
21,Yes,Travel_Rarely,156,Sales,12,3,'Life Sciences',1,494,3,Female,90,4,1,'Sales Representative',2,Single,2716,25422,1,Y,No,15,3,4,80,0,1,0,3,1,0,0,0,Yes
29,No,Travel_Rarely,1283,'Research & Development',23,3,'Life Sciences',1,495,4,Male,54,3,1,'Research Scientist',4,Single,2201,18168,9,Y,No,16,3,4,80,0,6,4,3,3,2,1,2,No
35,No,Travel_Rarely,755,'Research & Development',9,4,'Life Sciences',1,496,3,Male,97,2,2,'Healthcare Representative',2,Single,6540,19394,9,Y,No,19,3,3,80,0,10,5,3,1,1,0,0,No
27,No,Travel_Rarely,1469,'Research & Development',1,2,Medical,1,497,4,Male,82,3,1,'Laboratory Technician',2,Divorced,3816,17881,1,Y,No,11,3,2,80,1,5,2,3,5,2,0,4,No
28,No,Travel_Rarely,304,Sales,9,4,'Life Sciences',1,498,2,Male,92,3,2,'Sales Executive',4,Single,5253,20750,1,Y,No,16,3,4,80,0,7,1,3,7,5,0,7,No
51,No,Travel_Rarely,1178,Sales,14,2,'Life Sciences',1,500,3,Female,87,3,2,'Sales Executive',4,Married,4936,14862,4,Y,No,11,3,3,80,1,18,2,2,7,7,0,7,No
36,No,Travel_Rarely,329,'Research & Development',2,3,'Life Sciences',1,501,4,Female,96,3,1,'Research Scientist',3,Married,2543,11868,4,Y,No,13,3,2,80,1,6,3,3,2,2,2,2,No
34,Yes,Non-Travel,1362,Sales,19,3,Marketing,1,502,1,Male,67,4,2,'Sales Executive',4,Single,5304,4652,8,Y,Yes,13,3,2,80,0,9,3,2,5,2,0,4,Yes
55,No,Travel_Rarely,1311,'Research & Development',2,3,'Life Sciences',1,505,3,Female,97,3,4,Manager,4,Single,16659,23258,2,Y,Yes,13,3,3,80,0,30,2,3,5,4,1,2,No
24,No,Travel_Rarely,1371,Sales,10,4,Marketing,1,507,4,Female,77,3,2,'Sales Executive',3,Divorced,4260,5915,1,Y,Yes,12,3,4,80,1,5,2,4,5,2,0,3,No
30,No,Travel_Rarely,202,Sales,2,1,'Technical Degree',1,508,3,Male,72,3,1,'Sales Representative',2,Married,2476,17434,1,Y,No,18,3,1,80,1,1,3,3,1,0,0,0,No
22,No,Travel_Rarely,253,'Research & Development',11,3,Medical,1,511,1,Female,43,3,1,'Research Scientist',2,Married,2244,24440,1,Y,No,13,3,4,80,1,2,1,3,2,1,1,2,No
36,No,Travel_Rarely,164,Sales,2,2,Medical,1,513,2,Male,61,2,3,'Sales Executive',3,Married,7596,3809,1,Y,No,13,3,2,80,2,10,2,3,10,9,9,0,No
37,No,Travel_Rarely,1107,'Research & Development',14,3,'Life Sciences',1,515,4,Female,95,3,1,'Laboratory Technician',1,Divorced,3034,26914,1,Y,No,12,3,3,80,1,18,2,2,18,7,12,17,No
40,No,Travel_Rarely,759,Sales,2,2,Marketing,1,516,4,Female,46,3,2,'Sales Executive',2,Divorced,5715,22553,7,Y,No,12,3,3,80,2,8,5,3,5,4,1,3,No
42,No,Travel_Rarely,201,'Research & Development',1,4,'Life Sciences',1,517,2,Female,95,3,1,'Laboratory Technician',1,Divorced,2576,20490,3,Y,No,16,3,2,80,1,8,5,3,5,2,1,2,No
37,No,Travel_Rarely,1305,'Research & Development',10,4,'Life Sciences',1,518,3,Male,49,3,2,'Manufacturing Director',2,Single,4197,21123,2,Y,Yes,12,3,4,80,0,18,2,2,1,0,0,1,No
43,No,Travel_Rarely,982,'Research & Development',12,3,'Life Sciences',1,520,1,Male,59,2,4,'Research Director',2,Divorced,14336,4345,1,Y,No,11,3,3,80,1,25,3,3,25,10,3,9,No
54,No,Travel_Rarely,821,'Research & Development',5,2,Medical,1,522,1,Male,86,3,5,'Research Director',1,Married,19406,8509,4,Y,No,11,3,3,80,1,24,4,2,4,2,1,2,No
34,No,Non-Travel,1381,Sales,4,4,Marketing,1,523,3,Female,72,3,2,'Sales Executive',3,Married,6538,12740,9,Y,No,15,3,1,80,1,6,3,3,3,2,1,2,No
31,No,Travel_Rarely,480,'Research & Development',7,2,Medical,1,524,2,Female,31,3,2,'Manufacturing Director',1,Married,4306,4156,1,Y,No,12,3,2,80,1,13,5,1,13,10,3,12,No
43,No,Travel_Rarely,1473,'Research & Development',8,4,Other,1,526,3,Female,74,3,2,'Healthcare Representative',3,Divorced,4522,2227,4,Y,Yes,14,3,4,80,0,8,3,3,5,2,0,2,No
25,No,Travel_Rarely,891,Sales,4,2,'Life Sciences',1,527,2,Female,99,2,2,'Sales Executive',4,Single,4487,12090,1,Y,Yes,11,3,2,80,0,5,3,3,5,4,1,3,No
37,No,Non-Travel,1063,'Research & Development',25,5,Medical,1,529,2,Female,72,3,2,'Research Scientist',3,Married,4449,23866,3,Y,Yes,15,3,1,80,2,15,2,3,13,11,10,7,No
31,No,Travel_Rarely,329,'Research & Development',1,2,'Life Sciences',1,530,4,Male,98,2,1,'Laboratory Technician',1,Married,2218,16193,1,Y,No,12,3,3,80,1,4,3,3,4,2,3,2,No
39,No,Travel_Frequently,1218,'Research & Development',1,1,'Life Sciences',1,531,2,Male,52,3,5,Manager,3,Divorced,19197,8213,1,Y,Yes,14,3,3,80,1,21,3,3,21,8,1,6,No
56,No,Travel_Frequently,906,Sales,6,3,'Life Sciences',1,532,3,Female,86,4,4,'Sales Executive',1,Married,13212,18256,9,Y,No,11,3,4,80,3,36,0,2,7,7,7,7,No
30,No,Travel_Rarely,1082,Sales,12,3,'Technical Degree',1,533,2,Female,83,3,2,'Sales Executive',3,Single,6577,19558,0,Y,No,11,3,2,80,0,6,6,3,5,4,4,4,No
41,No,Travel_Rarely,645,Sales,1,3,Marketing,1,534,2,Male,49,4,3,'Sales Executive',1,Married,8392,19566,1,Y,No,16,3,3,80,1,10,2,3,10,7,0,7,No
28,No,Travel_Rarely,1300,'Research & Development',17,2,Medical,1,536,3,Male,79,3,2,'Laboratory Technician',1,Divorced,4558,13535,1,Y,No,12,3,4,80,1,10,2,3,10,0,1,8,No
25,Yes,Travel_Rarely,688,'Research & Development',3,3,Medical,1,538,1,Male,91,3,1,'Laboratory Technician',1,Married,4031,9396,5,Y,No,13,3,3,80,1,6,5,3,2,2,0,2,Yes
52,No,Travel_Rarely,319,'Research & Development',3,3,Medical,1,543,4,Male,39,2,3,'Manufacturing Director',3,Married,7969,19609,2,Y,Yes,14,3,3,80,0,28,4,3,5,4,0,4,No
52,No,Travel_Rarely,1490,'Research & Development',4,2,'Life Sciences',1,546,4,Female,30,3,4,Manager,4,Married,16555,10310,2,Y,No,13,3,4,80,0,31,2,1,5,2,1,4,No
42,No,Travel_Frequently,532,'Research & Development',29,2,'Life Sciences',1,547,1,Female,92,3,2,'Research Scientist',3,Divorced,4556,12932,2,Y,No,11,3,2,80,1,19,3,3,5,4,0,2,No
46,No,Travel_Rarely,1485,'Research & Development',18,3,Medical,1,550,3,Female,87,3,2,'Manufacturing Director',3,Divorced,4810,26314,2,Y,No,14,3,3,80,1,19,5,2,10,7,0,8,No
42,No,Travel_Frequently,1368,'Research & Development',28,4,'Technical Degree',1,551,4,Female,88,2,2,'Healthcare Representative',4,Married,4523,4386,0,Y,No,11,3,4,80,3,7,4,4,6,5,0,4,No
24,Yes,Travel_Rarely,1448,Sales,1,1,'Technical Degree',1,554,1,Female,62,3,1,'Sales Representative',2,Single,3202,21972,1,Y,Yes,16,3,2,80,0,6,4,3,5,3,1,4,Yes
34,Yes,Travel_Frequently,296,Sales,6,2,Marketing,1,555,4,Female,33,1,1,'Sales Representative',3,Divorced,2351,12253,0,Y,No,16,3,4,80,1,3,3,2,2,2,1,0,Yes
40,No,Travel_Rarely,1398,Sales,2,4,'Life Sciences',1,558,3,Female,79,3,5,Manager,3,Married,18041,13022,0,Y,No,14,3,4,80,0,21,2,3,20,15,1,12,No
30,No,Non-Travel,1400,'Research & Development',3,3,'Life Sciences',1,562,3,Male,53,3,1,'Laboratory Technician',4,Married,2097,16734,4,Y,No,15,3,3,80,1,9,3,1,5,3,1,4,No
29,No,Travel_Rarely,986,'Research & Development',3,4,Medical,1,564,2,Male,93,2,3,'Research Director',3,Married,11935,21526,1,Y,No,18,3,3,80,0,10,2,3,10,2,0,7,No
29,Yes,Travel_Rarely,408,'Research & Development',25,5,'Technical Degree',1,565,3,Female,71,2,1,'Research Scientist',2,Married,2546,18300,5,Y,No,16,3,2,80,0,6,2,4,2,2,1,1,Yes
19,Yes,Travel_Rarely,489,'Human Resources',2,2,'Technical Degree',1,566,1,Male,52,2,1,'Human Resources',4,Single,2564,18437,1,Y,No,12,3,3,80,0,1,3,4,1,0,0,0,Yes
30,No,Non-Travel,1398,Sales,22,4,Other,1,567,3,Female,69,3,3,'Sales Executive',1,Married,8412,2890,0,Y,No,11,3,3,80,0,10,3,3,9,8,7,8,No
57,No,Travel_Rarely,210,Sales,29,3,Marketing,1,568,1,Male,56,2,4,Manager,4,Divorced,14118,22102,3,Y,No,12,3,3,80,1,32,3,2,1,0,0,0,No
30,No,Non-Travel,1116,'Research & Development',2,3,Medical,1,571,3,Female,49,3,1,'Laboratory Technician',4,Single,2564,7181,0,Y,No,14,3,3,80,0,12,2,2,11,7,6,7,No
47,No,Travel_Rarely,983,'Research & Development',2,2,Medical,1,574,1,Female,65,3,2,'Manufacturing Director',4,Divorced,5070,7389,5,Y,No,13,3,3,80,3,20,2,3,5,0,0,4,No
46,No,Travel_Rarely,1009,'Research & Development',2,3,'Life Sciences',1,575,1,Male,51,3,4,'Research Director',3,Married,17861,2288,6,Y,No,13,3,3,80,0,26,2,1,3,2,0,1,No
35,No,Travel_Rarely,144,'Research & Development',22,3,'Life Sciences',1,577,4,Male,46,1,1,'Laboratory Technician',3,Single,4230,19225,0,Y,No,15,3,3,80,0,6,2,3,5,4,4,3,No
54,No,Travel_Rarely,548,'Research & Development',8,4,'Life Sciences',1,578,3,Female,42,3,2,'Laboratory Technician',3,Single,3780,23428,7,Y,No,11,3,3,80,0,19,3,3,1,0,0,0,No
34,No,Travel_Rarely,1303,'Research & Development',2,4,'Life Sciences',1,579,4,Male,62,2,1,'Research Scientist',3,Divorced,2768,8416,3,Y,No,12,3,3,80,1,14,3,3,7,3,5,7,No
46,No,Travel_Rarely,1125,Sales,10,3,Marketing,1,580,3,Female,94,2,3,'Sales Executive',4,Married,9071,11563,2,Y,Yes,19,3,3,80,1,15,3,3,3,2,1,2,No
33,Yes,Travel_Rarely,1277,'Research & Development',15,1,Medical,1,582,2,Male,56,3,3,Manager,3,Married,13610,24619,7,Y,Yes,12,3,4,80,0,15,2,4,7,6,7,7,Yes
33,Yes,Travel_Rarely,587,'Research & Development',10,1,Medical,1,584,1,Male,38,1,1,'Laboratory Technician',4,Divorced,3408,6705,7,Y,No,13,3,1,80,3,8,2,3,4,3,1,3,Yes
30,No,Travel_Rarely,413,Sales,7,1,Marketing,1,585,4,Male,57,3,1,'Sales Representative',2,Single,2983,18398,0,Y,No,14,3,1,80,0,4,3,3,3,2,1,2,No
35,No,Travel_Rarely,1276,'Research & Development',16,3,'Life Sciences',1,586,4,Male,72,3,3,'Healthcare Representative',3,Married,7632,14295,4,Y,Yes,12,3,3,80,0,10,2,3,8,7,0,0,No
31,Yes,Travel_Frequently,534,'Research & Development',20,3,'Life Sciences',1,587,1,Male,66,3,3,'Healthcare Representative',3,Married,9824,22908,3,Y,No,12,3,1,80,0,12,2,3,1,0,0,0,Yes
34,Yes,Travel_Frequently,988,'Human Resources',23,3,'Human Resources',1,590,2,Female,43,3,3,'Human Resources',1,Divorced,9950,11533,9,Y,Yes,15,3,3,80,3,11,2,3,3,2,0,2,Yes
42,No,Travel_Frequently,1474,'Research & Development',5,2,Other,1,591,2,Male,97,3,1,'Laboratory Technician',3,Married,2093,9260,4,Y,No,17,3,4,80,1,8,4,3,2,2,2,0,No
36,No,Non-Travel,635,Sales,10,4,Medical,1,592,2,Male,32,3,3,'Sales Executive',4,Single,9980,15318,1,Y,No,14,3,4,80,0,10,3,2,10,3,9,7,No
22,Yes,Travel_Frequently,1368,'Research & Development',4,1,'Technical Degree',1,593,3,Male,99,2,1,'Laboratory Technician',3,Single,3894,9129,5,Y,No,16,3,3,80,0,4,3,3,2,2,1,2,Yes
48,No,Travel_Rarely,163,Sales,2,5,Marketing,1,595,2,Female,37,3,2,'Sales Executive',4,Married,4051,19658,2,Y,No,14,3,1,80,1,14,2,3,9,7,6,7,No
41,No,Non-Travel,267,Sales,10,2,'Life Sciences',1,599,4,Male,56,3,2,'Sales Executive',4,Single,6230,13430,7,Y,No,14,3,4,80,0,16,3,3,14,3,1,10,No
35,No,Travel_Rarely,619,Sales,1,3,Marketing,1,600,2,Male,85,3,2,'Sales Executive',3,Married,4717,18659,9,Y,No,11,3,3,80,0,15,2,3,11,9,6,9,No
40,No,Travel_Rarely,302,'Research & Development',6,3,'Life Sciences',1,601,2,Female,75,3,4,'Manufacturing Director',3,Single,13237,20364,7,Y,No,15,3,3,80,0,22,3,3,20,6,5,13,No
39,No,Travel_Frequently,443,'Research & Development',8,1,'Life Sciences',1,602,3,Female,48,3,1,'Laboratory Technician',3,Married,3755,17872,1,Y,No,11,3,1,80,1,8,3,3,8,3,0,7,No
31,No,Travel_Rarely,828,Sales,2,1,'Life Sciences',1,604,2,Male,77,3,2,'Sales Executive',4,Single,6582,8346,4,Y,Yes,13,3,3,80,0,10,2,4,6,5,0,5,No
45,No,Travel_Rarely,561,Sales,2,3,Other,1,606,4,Male,61,3,2,'Sales Executive',2,Married,4805,16177,0,Y,No,19,3,2,80,1,9,3,4,8,7,3,7,No
26,Yes,Travel_Frequently,426,'Human Resources',17,4,'Life Sciences',1,608,2,Female,58,3,1,'Human Resources',3,Divorced,2741,22808,0,Y,Yes,11,3,2,80,1,8,2,2,7,7,1,0,Yes
29,No,Travel_Rarely,232,'Research & Development',19,3,'Technical Degree',1,611,4,Male,34,3,2,'Manufacturing Director',4,Divorced,4262,22645,4,Y,No,12,3,2,80,2,8,2,4,3,2,1,2,No
33,No,Travel_Rarely,922,'Research & Development',1,5,Medical,1,612,1,Female,95,4,4,'Research Director',3,Divorced,16184,22578,4,Y,No,19,3,3,80,1,10,2,3,6,1,0,5,No
18,Yes,Travel_Frequently,1306,Sales,5,3,Marketing,1,614,2,Male,69,3,1,'Sales Representative',2,Single,1878,8059,1,Y,Yes,14,3,4,80,0,0,3,3,0,0,0,0,Yes
40,No,Non-Travel,1094,Sales,28,3,Other,1,615,3,Male,58,1,3,'Sales Executive',1,Divorced,10932,11373,3,Y,No,15,3,3,80,1,20,2,3,1,0,0,1,No
41,No,Non-Travel,509,'Research & Development',2,4,Other,1,616,1,Female,62,2,2,'Healthcare Representative',3,Single,6811,2112,2,Y,Yes,17,3,1,80,0,10,3,3,8,7,0,7,No
26,No,Travel_Rarely,775,Sales,29,2,Medical,1,618,1,Male,45,3,2,'Sales Executive',3,Divorced,4306,4267,5,Y,No,12,3,1,80,2,8,5,3,0,0,0,0,No
35,No,Travel_Rarely,195,Sales,1,3,Medical,1,620,1,Female,80,3,2,'Sales Executive',3,Single,4859,6698,1,Y,No,16,3,4,80,0,5,3,3,5,4,0,3,No
34,No,Travel_Rarely,258,Sales,21,4,'Life Sciences',1,621,4,Male,74,4,2,'Sales Executive',4,Single,5337,19921,1,Y,No,12,3,4,80,0,10,3,3,10,7,5,7,No
26,Yes,Travel_Rarely,471,'Research & Development',24,3,'Technical Degree',1,622,3,Male,66,1,1,'Laboratory Technician',4,Single,2340,23213,1,Y,Yes,18,3,2,80,0,1,3,1,1,0,0,0,Yes
37,No,Travel_Rarely,799,'Research & Development',1,3,'Technical Degree',1,623,2,Female,59,3,3,'Manufacturing Director',4,Single,7491,23848,4,Y,No,17,3,4,80,0,12,3,4,6,5,1,2,No
46,No,Travel_Frequently,1034,'Research & Development',18,1,Medical,1,624,1,Female,86,3,3,'Healthcare Representative',3,Married,10527,8984,5,Y,No,11,3,4,80,0,28,3,2,2,2,1,2,No
41,No,Travel_Rarely,1276,Sales,2,5,'Life Sciences',1,625,2,Female,91,3,4,Manager,1,Married,16595,5626,7,Y,No,16,3,2,80,1,22,2,3,18,16,11,8,No
37,No,Non-Travel,142,Sales,9,4,Medical,1,626,1,Male,69,3,3,'Sales Executive',2,Divorced,8834,24666,1,Y,No,13,3,4,80,1,9,6,3,9,5,7,7,No
52,No,Travel_Rarely,956,'Research & Development',6,2,'Technical Degree',1,630,4,Male,78,3,2,'Research Scientist',1,Divorced,5577,22087,3,Y,Yes,12,3,2,80,2,18,3,3,10,9,6,9,No
32,Yes,Non-Travel,1474,Sales,11,4,Other,1,631,4,Male,60,4,2,'Sales Executive',3,Married,4707,23914,8,Y,No,12,3,4,80,0,6,2,3,4,2,1,2,Yes
24,No,Travel_Frequently,535,Sales,24,3,Medical,1,632,4,Male,38,3,1,'Sales Representative',4,Married,2400,5530,0,Y,No,13,3,3,80,2,3,3,3,2,2,2,1,No
38,No,Travel_Rarely,1495,'Research & Development',10,3,Medical,1,634,3,Female,76,3,2,'Healthcare Representative',3,Married,9824,22174,3,Y,No,19,3,3,80,1,18,4,3,1,0,0,0,No
37,No,Travel_Rarely,446,'Research & Development',1,4,'Life Sciences',1,635,2,Female,65,3,2,'Manufacturing Director',2,Married,6447,15701,6,Y,No,12,3,2,80,1,8,2,2,6,5,4,3,No
24,No,Travel_Rarely,691,'Research & Development',23,3,Medical,1,639,2,Male,89,4,1,'Research Scientist',4,Married,2725,21630,1,Y,Yes,11,3,2,80,2,6,3,3,6,5,1,4,No
25,No,Travel_Rarely,622,Sales,13,1,Medical,1,645,2,Male,40,3,1,'Sales Representative',3,Married,2096,26376,1,Y,No,11,3,3,80,0,7,1,3,7,4,0,6,No
24,Yes,Travel_Frequently,1287,'Research & Development',7,3,'Life Sciences',1,647,1,Female,55,3,1,'Laboratory Technician',3,Married,2886,14168,1,Y,Yes,16,3,4,80,1,6,4,3,6,3,1,2,Yes
30,Yes,Travel_Frequently,448,Sales,12,4,'Life Sciences',1,648,2,Male,74,2,1,'Sales Representative',1,Married,2033,14470,1,Y,No,18,3,3,80,1,1,2,4,1,0,0,0,Yes
34,No,Travel_Rarely,254,'Research & Development',1,2,'Life Sciences',1,649,2,Male,83,2,1,'Research Scientist',4,Married,3622,22794,1,Y,Yes,13,3,4,80,1,6,3,3,6,5,1,3,No
31,Yes,Travel_Rarely,1365,Sales,13,4,Medical,1,650,2,Male,46,3,2,'Sales Executive',1,Divorced,4233,11512,2,Y,No,17,3,3,80,0,9,2,1,3,1,1,2,Yes
35,No,Travel_Rarely,538,'Research & Development',25,2,Other,1,652,1,Male,54,2,2,'Laboratory Technician',4,Single,3681,14004,4,Y,No,14,3,4,80,0,9,3,3,3,2,0,2,No
27,No,Travel_Rarely,798,'Research & Development',6,4,Medical,1,655,1,Female,66,2,1,'Research Scientist',3,Divorced,2187,5013,0,Y,No,12,3,3,80,2,6,5,2,5,3,0,3,No
37,No,Travel_Rarely,558,Sales,2,3,Marketing,1,656,4,Male,75,3,2,'Sales Executive',3,Married,9602,3010,4,Y,Yes,11,3,3,80,1,17,3,2,3,0,1,0,No
20,No,Travel_Rarely,959,'Research & Development',1,3,'Life Sciences',1,657,4,Female,83,2,1,'Research Scientist',2,Single,2836,11757,1,Y,No,13,3,4,80,0,1,0,4,1,0,0,0,No
42,No,Travel_Rarely,622,'Research & Development',2,4,'Life Sciences',1,659,3,Female,81,3,2,'Healthcare Representative',4,Married,4089,5718,1,Y,No,13,3,2,80,2,10,4,3,10,2,2,2,No
43,No,Travel_Rarely,782,'Research & Development',6,4,Other,1,661,2,Male,50,2,4,'Research Director',4,Divorced,16627,2671,4,Y,Yes,14,3,3,80,1,21,3,2,1,0,0,0,No
38,No,Travel_Rarely,362,'Research & Development',1,1,'Life Sciences',1,662,3,Female,43,3,1,'Research Scientist',1,Single,2619,14561,3,Y,No,17,3,4,80,0,8,3,2,0,0,0,0,No
43,No,Travel_Frequently,1001,'Research & Development',9,5,Medical,1,663,4,Male,72,3,2,'Laboratory Technician',3,Divorced,5679,19627,3,Y,Yes,13,3,2,80,1,10,3,3,8,7,4,7,No
48,No,Travel_Rarely,1236,'Research & Development',1,4,'Life Sciences',1,664,4,Female,40,2,4,Manager,1,Married,15402,17997,7,Y,No,11,3,1,80,1,21,3,1,3,2,0,2,No
44,No,Travel_Rarely,1112,'Human Resources',1,4,'Life Sciences',1,665,1,Female,50,2,2,'Human Resources',3,Single,5985,26894,4,Y,No,11,3,2,80,0,10,1,4,2,2,0,2,No
