@RELATION 'IBM-EMPLOYEE-ATTRITION'

@ATTRIBUTE class {Positive,Negative}
@ATTRIBUTE content STRING

@DATA
Negative, "Sometimes you have to work with people from very diverse backgrounds, resulting in a lack of efficiency in communication and accomplishing tasks"
Negative, "Pay range isnt as high as Manager"
Negative, "Pays very low salaries and getting promotion is also too difficult after a certain level"
Negative, "Too big of a company potentially get lost"
Negative, "Benefits arent great but overall a decent place to work"
Negative, "Anytime you move positions you take an 18% pay cut in salary even if it is a promotion If you have an issue with management and that person in management is highly connected IBM will keep them safe first not you"
Negative, "Depending on the role and team dynamics employees may have limited flexibility in terms of remote work options or flexible scheduling arrangements"
Negative, "Long hours Hard work is rewarded until its not"
Negative, "There was always a layoff around the corner"
Negative, "Periodic layoffs were a concern. Seemed like once a year there would be layoffs"
Negative, "There is not a lot of team work"
Negative, "Low pay Office is boring and no incentive to come back other than being forced to"
Negative, "DEI and continued wokeness at leadership levels is changing the company for the worse"
Negative, "Can be a lot of work at times but it keeps you busy so no cons for me"
Negative, "Mobility is based on networking time in and whether your coach has time for you"
Negative, "Layoffs depending on the role you could get stuck there due to knowledge that is only useful there If you combine those two good luck finding a new position Coworkers might never respond to your emails"
Negative, "Frequent reorganizations lead to management changes lack of transparency low morale due to concerns with job security often given additional responsibilities roles with no compensation"
Negative, "Compensation structure is not the best and have reduce benefits lately"
Negative, "Large company that is bureaucratic"
Negative, "Its a huge company lots of inertia any sense of job security does not last long any pro listed above is totally dependent on the team you are on and who the director and VPs are higher up in the org chart"
Negative, "Hard to move up the corporate laddar"
Negative, "easy to plateau but there are opptys to continue to learn"
Negative, "Hard to get equity awards not as competitive as Google Microsoft or Amazon"
Negative, "Quantitative work over qualitative  Many different tools/access Rotating Weekend Shifts  Impatient Customers  Work life balance takes a hit due to tickets needing constant attention"
Negative, "Workloads time constraint mandatory trainings meetings"
Negative, "Why would they lay off a disabled veteran working on a federal government project with OFCCP implications the day before Christmas then rehire somebody that quit a month before"
Negative, "WFH WFO culture needs serious attention"
Negative, "Frequent layoffs pay not competitive with market"
Negative, "Constant threat of lay offs especially in the US and EMEA, most jobs are being off shored"
Negative, "Leaderships can sometimes be pushy"
Negative, "Not that much found out so far"
Negative, "Lots of layoffs sinking ship"
Negative, "Lack of culture Lack of innovation Endless bureaucracy"
Negative, "Pay isnt aligned with other tech companies"
Negative, "Lots of layoffs Not longevity for long period of time"
