sentiment,Text,,,,,,,,,,,,,Column Labels,,,
-1, Wow Yall needa step it up Apple RT heynyla Music and snapchat at the same damn time Thank you Note4 ,,,,,,,,,,,,,-1,0,1,Grand Total
-1, apple The iPad update to iOS 8 is an absolute disaster Nothing works right anymore Safari crashes constantly iFail ,,,,,,,,,,,,,,,,
0, AAPLApple trial continues without a plaintiff for nowhttptcoDjDkC4HkPZ ,,,,,,,,,,,,,,,,
1, Finally Brooklyn Is Getting Its Own Apple Store aapl httptcoIpjMgjGQw5 httptcoOw2BSRLbAx ,,,,,,,,,,,,,,,,
1, RT SwiftKey Were so excited to be named to Apples App Store Best of 2014 list this year httptcod7qlmti4Uf Apple ,,,,,,,,,,,,,,,,
0, The best link of the day on usemuzli Tech facebook CEO Mark Zuckerberg goes after timcook  Apple  AppAdvice httptcocDnZCthRlA ,,,,,,,,,,,,,,,,
-1, PCAudioLabs is in and Apple is out at Emanon Records  Apple was premium product Now it is an average product with a premium price ,,,,,,,,,,,,,,,,
-1, Realised the reason apple make huge phones is because they f**ked Safari up by not allowing us to hide the address bar ,,,,,,,,,,,,,,,,
-1, apple yall shitty ,,,,,,,,,,,,,,,,
-1, Finally updated to iOS 8this happened ha weird glitch fix it please apple httptcoLCoGg7yfEz ,,,,,,,,,,,,,,,,
0, RT jopocop TheStreet  Apple Gets Price Target Boost on Back of Strong iPhone Demand aapl  httptcof2qTGIBDDq ,,,,,,,,,,,,,,,,
0, How to Make Apple Special Again aapl httptcoEiAP7Kmelu ,,,,,,,,,,,,,,,,
0, swerviinnn Apple clearly its a sign they doing u a favor ,,,,,,,,,,,,,,,,
-1, apple macos yosemite is a buggy piece of shit It makes me miss windows8 ,,,,,,,,,,,,,,,,
-1, Im surprised there isnt more talk about what looked like a flash crash in AAPL yesterday Biggest range in years and largely ignored ,,,,,,,,,,,,,,,,
-1, Shockingly iMessage on the desktop is fucked up again Great work apple Seriously on point with network services as only you can do ,,,,,,,,,,,,,,,,
-1, The hell does this mean apple one day Skype wont let me login now I cant even open the app httptcoSegFVq5Mzx ,,,,,,,,,,,,,,,,
-1, Tryng to get back on snapchat but the App Store isnt cooperating apple ,,,,,,,,,,,,,,,,
0, Apple Adds New Flyover Locations to Maps Siri Movie Showtimes in More Countries iOS Blog httptco758TjE7alk AAPL ,,,,,,,,,,,,,,,,
-1, apple fucking let everyone name the group chats their own things please and thanks ,,,,,,,,,,,,,,,,
0, dougluberts Apple Is it the 128gb version? ,,,,,,,,,,,,,,,,
-1, Apple your chargers SUCK ,,,,,,,,,,,,,,,,
0, The questions every CIO should ask about Apple iWatch httptco1RSxT3CMlZ ,,,,,,,,,,,,,,,,
-1, RT saigeist the most offensive thing is the lack of a trashcan emoji stop the discrimination apple ,,,,,,,,,,,,,,,,
-1, apple fuck you ,,,,,,,,,,,,,,,,
-1, RT JPDesloges Higher Price Targets Are Not Helping Apples Shares AAPL aapl httptcoQTLiiXy1Ed ,,,,,,,,,,,,,,,,
0, Apple heads to trial over iTunes update AAPL httptcoBevWxGyCVk ,,,,,,,,,,,,,,,,
0, AAPLNew FarReaching Apple Patent Reveals Next iPhone May Demonstrate A ChttptcoCe8dwGBHz0 ,,,,,,,,,,,,,,,,
-1, apple Why is your NYC Grand Central store so bad when it comes to service? 14th Street is much much better ,,,,,,,,,,,,,,,,
-1, Im not happy about that apple ,,,,,,,,,,,,,,,,
0, RT adage Watch the weekends new TV ads from RadioShack Apple and more httptcocKdkibI6PL ,,,,,,,,,,,,,,,,
-1, tehhGOAT Apple do you by accident have me blocked or? ,,,,,,,,,,,,,,,,
-1, Real tired of my charger breaking every month Apple ,,,,,,,,,,,,,,,,
0, Is Apple The Most Important Stock On Earth?  httptcoYkyiwKnL5S aapl httptcoeiAOHl8LL1 ,,,,,,,,,,,,,,,,
-1, Apple get your shit together I hate you ,,,,,,,,,,,,,,,,
-1, Nasdaq big fall FB Baba Twtr Linkd Apple fell 36 on Monday See whether follow up  ,,,,,,,,,,,,,,,,
-1, fucking faggots apple ,,,,,,,,,,,,,,,,
0,are u android or ios? aapl samsung aapl ApplePay apple GoodMore GivingTuesday StonerSports 3YearsOf5SOS FlashvsArrow stocks ,,,,,,,,,,,,,,,,
-1, honestly fuuuuccckkkk you apple httptco0aV4VreGUj ,,,,,,,,,,,,,,,,
-1, Apple Stop liking man ,,,,,,,,,,,,,,,,
-1, SSComposer Apple seems to ignore any key presses like command r and is just doing its own thing ,,,,,,,,,,,,,,,,
0, RT JPDesloges APPLE  Fibonacci Technicals Levels  LAST Intraday  Update  AAPL aapl  httptco9tLzXOlfzG ,,,,,,,,,,,,,,,,
-1, Note to apple Mail STILL has trouble sending  The last update didnt fix it  Mail that doesnt send?  Not so useful ,,,,,,,,,,,,,,,,
0, brettgilmour Apple Youre not the only one apparently based on that last interview we did with carmilevy ,,,,,,,,,,,,,,,,
-1, No macbook todaycharger broken help please apple what can i do ,,,,,,,,,,,,,,,,
0, Google May Be the Big Winner in LAUSDs IPad Scandal httptcoYVDioMcl4r via BW aapl ,,,,,,,,,,,,,,,,
-1, FUCK U apple i just dropped my new IPHONE6  and it got all sctratched up  IM DONE WITH APPLE SO FUCKING FRAGILE ,,,,,,,,,,,,,,,,
0, Will the IPhone6Plus Shortage Hurt Apple Apple This Christmas? Monday 8 December httptcoi1QB6uaRms ,,,,,,,,,,,,,,,,
-1, brittbumgarner briannalengy I mean it didnt auto correct so who is really at fault here apple ,,,,,,,,,,,,,,,,
0, AAPL buy reiterated  target raised to 130 by Bank of America Merrill Lynch AAPL Brief explanation here  httpstco349ckZlF0v AAPL ,,,,,,,,,,,,,,,,
-1, fuck type of shit is this Apple autocorrect Siri httptco5zyb6SUepz ,,,,,,,,,,,,,,,,
-1, Left the hoos we 100 now got 50 iPhones are dire apple suck ur mum ,,,,,,,,,,,,,,,,
0, brycehendersonn o wow technology stevejobs GamerGate  IGN  Machinima gameinformer Apple 64megaherts  got me there ,,,,,,,,,,,,,,,,
0, 5 Companies Growing Faster Than Apple Inc httptcoQsoC8dir60 AAPL ,,,,,,,,,,,,,,,,
-1, apple YosemiteProblems Erases my saved pass words every day This is getting annoying ,,,,,,,,,,,,,,,,
1, apple apple tech support is so nice Free stuff Sucks about the ringtone issue though ,,,,,,,,,,,,,,,,
0, Apple Releases Safari 801 711 and 621 httptcosIOuKQbs1T AAPL ,,,,,,,,,,,,,,,,
0, Early Apple Employee Bill Fernandez Shares Details on Steve Jobs Creation of the Apple II and More httptcohv7TfDUIm9 AAPL ,,,,,,,,,,,,,,,,
0, AAPL passes 700 billion in Market Cap and setting a new record details here httptcoUCXw8zSRpZ AAPL Apple Stocks Record News ,,,,,,,,,,,,,,,,
-1, Cant believe Apple said melted keys on Mac Pro is not under warranty for a machine less than a year old Asking for ?500 to repair ,,,,,,,,,,,,,,,,
-1, fuck you apple ,,,,,,,,,,,,,,,,
0, I posted 9 photos on Facebook in the album WOW TALKS  PASSION FOR DESIGN  LONDON DESIGN FESTIVAL APPLE httptcovgRlX9OCMT ,,,,,,,,,,,,,,,,
0, How To Use iOS8 Continuity  Know Your Mobile httptcoBf2smNeBEe aapl ,,,,,,,,,,,,,,,,
-1, SwiftKey Apple Oh In wish you guys would port hebrew from the android version already I have swapping abck and forth ,,,,,,,,,,,,,,,,
1, Apples iPhone 6 Plus Amazingly Captures 41 of the Phablet Market Right out of the Gate AAPL aapl httptcohv7jiOO6S0 ,,,,,,,,,,,,,,,,
1, AAPL providing another great entry point lt 115 ,,,,,,,,,,,,,,,,
0, lisapjackson any stats on use of Apples recycling program? ,,,,,,,,,,,,,,,,
0, AAPLCorporate Earnings to Contract Short Apple Best of Kasshttptco59VMgqR0tH ,,,,,,,,,,,,,,,,
0, ayo Apple I think u should create a video message option so when CarlaBarlaCakes doesnt answer my facetime I can leave her a VIDEO MAIL ,,,,,,,,,,,,,,,,
0, The power of Apple s strong branding and store design in one photo httptcoCJObpVZeZk via qz httptcohD6P7hJhW8 ,,,,,,,,,,,,,,,,
-1, Yo Apple fix your shitty iMessage ,,,,,,,,,,,,,,,,
-1, Why I Hate Apple  httptcoIbpyJXaOuW AAPL LongTermLarry ,,,,,,,,,,,,,,,,
-1, Hey apple are you even thinking about fixing your wifi issues? YosemiteProblems ,,,,,,,,,,,,,,,,
0, sharksbeauty Apple LEMME get the blondes number ,,,,,,,,,,,,,,,,
0, AAPLApple Inc International Business Machines Corp Exxon Mobil Corporahttptco0XWPHhpA6C ,,,,,,,,,,,,,,,,
0, 3 Tech Stocks That Could Soar in 2015  The Motley Fool goog aapl fb httptco6LcuT1XTzX ,,,,,,,,,,,,,,,,
0, Apple Debuts New iPad Air 2 TV Ad Change with New Website Section httptco8q8satHa2S AAPL ,,,,,,,,,,,,,,,,
0, jakeflem Apple Some info for you httptcoJ79FnVB94e httptcom3pclPVgGK httptcoJ72WyhXxx1 Hope it helps PinkScreenOfDeath ,,,,,,,,,,,,,,,,
0, Apple mass transit system for Maps detailed in new patent AAPL aapl httptcoYhwWoUBR3Q ,,,,,,,,,,,,,,,,
-1, ohaiigloria hahahamark apple explain yourselves ,,,,,,,,,,,,,,,,
-1, RT danielllebaker Paid 20 for a new 5 charger and couldnt  b more pissed about it this is rape apple ,,,,,,,,,,,,,,,,
1, The 10 biggest differences between Mac and PC  Yep Ill stick with my Mac apple httptcoobykvsjfJY apple LisaEadicicco ,,,,,,,,,,,,,,,,
-1, Yall need to fix this flickerflash when I swipe up to close apps Apple ,,,,,,,,,,,,,,,,
0, PRINCIPLED TRUTHS Eddy Cue Talks to Fortune as Apple Appeals EBook PriceFixing Judgment AAPL httptcoY7JDYN0mlR ,,,,,,,,,,,,,,,,
-1, appleipad irig  For the price to connect my guitar I could buy a real amp loud enough to perform ripoff ,,,,,,,,,,,,,,,,
-1, steviebuckley Its doing strange things to dropbox files as well  create a new folder and it disappears etc  apple yosemite bugs ,,,,,,,,,,,,,,,,
0, AAPL12 Unexpected Stocks Bringing Buffett and Fellow Billionaires Holiday httptcoQSxQQPAg2q ,,,,,,,,,,,,,,,,
-1, HlPSTALUKE Apple one of you stepped on my phone last night and its smashed and doesnt work  ,,,,,,,,,,,,,,,,
-1, Hey apple fuck you for thinking I want text messages to pop up on my computer iPad and phone ThisIsWhyPeopleGetMurdered ,,,,,,,,,,,,,,,,
-1, Just another reason to hate Apple ,,,,,,,,,,,,,,,,
0, Steve Jobs I dont know what the claims in the case are AAPL aapl httptco5Ufd8p9qxs ,,,,,,,,,,,,,,,,
1, OneRepublic Apple How cool that youre working on new music Cant wait to hear it But youre working hard You need rest  ,,,,,,,,,,,,,,,,
-1, Apple technologyis becoming very undesirable These glitches are constantly stopping my from working ,,,,,,,,,,,,,,,,
1, Apple dominates mobile online shopping at 78 percent in US aapl httptco1fqoPIhObO ,,,,,,,,,,,,,,,,
-1, applenws AppleProducts Apple ok look yall still aint reversed me back to iOS 7 idk what the hold up is but ima need yall to get on it ,,,,,,,,,,,,,,,,
-1, Can Apple sTOP making their OS installations so damn bloody difficult STOP ASKING ME TO CLEAR SPACE FROM MY HARD DISK ,,,,,,,,,,,,,,,,
0, Jimmy Iovine to Apple You Have a Hole in Music Right Now Let Me Plug It httptcoRwolD40zwI AAPL ,,,,,,,,,,,,,,,,
0, AntiDiscrimination Bill To Be Named After Apple CEO TimCook httptcoqEZlIPc8Z2 via theinquisitr LGBT LGBT Gayrights Alabama ,,,,,,,,,,,,,,,,
-1, RT all4incognito HATE APPLE SO MUCH RUIN MY LIFE ,,,,,,,,,,,,,,,,
0, Debunking One of Apples Biggest Myths  httptcoZljMUApQV6 AAPL ,,,,,,,,,,,,,,,,
-1, RT animaItoes Why does my phone suck so much apple ,,,,,,,,,,,,,,,,
-1, YO YOU AINT SHIT apple ,,,,,,,,,,,,,,,,
0, Apple Market Maker Price Range Forecast Update AAPL httptcolb0gspNI9j ,,,,,,,,,,,,,,,,
0, Apple planning to spend 161 million on its own auditorium at   httptcoeJU1Q6Qklb AAPL WWDC httptcoQYhVucuSyP ,,,,,,,,,,,,,,,,
0, Youll Be Able To Learn How To Code For Free Next Week At Your Nearest Apple Store  httptco8xHh2SLC4X ,,,,,,,,,,,,,,,,
-1, What I find alarming about Apple power cords is how quickly they fray  I dont always notice when I dont travel with them AppleCordFire ,,,,,,,,,,,,,,,,
0, 10 best SteveJobs apple aapl tech30 httptcoFkrkG1iF7g via ,,,,,,,,,,,,,,,,
1, SamJam Agreedhave to give props to Apple for battery life on new iPhones Its SO good TLChat ,,,,,,,,,,,,,,,,
-1, apple I have been on hold for 30 minutes thank god I sold most of my stock is this comcast or apple? ,,,,,,,,,,,,,,,,
-1, viticci panic Apple Jesus why did they create extensions at all? Lighten up Apple ,,,,,,,,,,,,,,,,
0, Apple Inc price at close December 05 2014 is 1149801 apple AAPL ,,,,,,,,,,,,,,,,
0, CNBCTV  Bulls running with GoPro amp Apple gpro aapl  httptcozNj09hU6jb ,,,,,,,,,,,,,,,,
0, Apple Is Warming Up To Social Media Apple is hiring a social media guru in LA Will Apple finally tweet?Her httptcosB1FXAZ4j7 ,,,,,,,,,,,,,,,,
0, Ironic that were at a PR event mp15 talking about companies that dont need more people talking about them google apple facebook ,,,,,,,,,,,,,,,,
-1, How many iphone chargers do I need to go through? Apple make charger durability a point in the new iPhone ,,,,,,,,,,,,,,,,
0, The rumoured oppo R8207 looks very similar to a certain Apple iPhone6 httptconJKstb1rJf ,,,,,,,,,,,,,,,,
0, Apple Watch on Track for February 2015 Release Testing Underway Rumour  AAPL aapl httptcovjOWVvDFx5 ,,,,,,,,,,,,,,,,
0, Howto import objectiveC code into bridging header file  Apigee SDK for Apples Swift httptcoe3i1kKa7xX httptcodkoOxiEGRy ,,,,,,,,,,,,,,,,
-1, thanks apple for making life complicated ,,,,,,,,,,,,,,,,
0, Bose products reportedly set to return to Apple Store shelves as early as next week  httptcofqnkD6rsDT AAPL JimmyIovine ,,,,,,,,,,,,,,,,
0, AAPLAlabama AntiDiscrimination Bill To Be Named After Apple CEO Tim CookhttptcoJ6hGjmjBZD ,,,,,,,,,,,,,,,,
0, Apple to launch 4inch iPhone next year Report AAPL aapl httptcox3lzm9bOoM ,,,,,,,,,,,,,,,,
0, My cat only chews apple cords Such an AppleSnob ,,,,,,,,,,,,,,,,
-1, Ur minute has been about 10 minutes apple httptcotInVuQNYAM ,,,,,,,,,,,,,,,,
-1, How do I log into iCloud on my phone? Not the cut down mobile version Argh Anyone know? apple ,,,,,,,,,,,,,,,,
-1, fuck you fuck you so much i hate you apple ,,,,,,,,,,,,,,,,
0, leiahemilyy Apple really??? ,,,,,,,,,,,,,,,,
0, Move Aside Apple and Google Alibaba is Entering the Connected Car Space  Forbes baba goog aapl httptcogOSQlrWvtl ,,,,,,,,,,,,,,,,
0, Footage of the Apple1 computer running ComputerHistory apple christiesinc httptconTGfnJWZ7G ,,,,,,,,,,,,,,,,
1, Great service at Apple BethesdaRow thanks Jenna and Brandon ,,,,,,,,,,,,,,,,
-1, apple please get yourself together I need my products to work ,,,,,,,,,,,,,,,,
-1, apple so thanks for being greedy assholes who force me to pay to get something THAT I ALREADY FUCKING PAID FOR WITH FINAL CUT PRO ,,,,,,,,,,,,,,,,
0, Why AAPL Stock Had a MiniFlash Crash Today Money Morning Nothing the analysts suggested would make a widel httptcojFGsSy2Ei3 ,,,,,,,,,,,,,,,,
-1, kodam13 and blunderblock if fricking Apple ever gets their act together AppStore we need Blunderblock by BrandiGlanville ,,,,,,,,,,,,,,,,
0, Steve Wozniak on Apple the Computer Revolution and Working With Steve Jobs httptco01201wlyzu via BW ,,,,,,,,,,,,,,,,
-1, Uh is Apple making fun of French people and being rude in their new iPhone 6 call from anywhere ad? Thats how it seemed to me ,,,,,,,,,,,,,,,,
0, If Apple Will Poach From Fashion Then Fashion Will Follow Suit  The Business of Fashion  httptcoKVe1KXONfM ,,,,,,,,,,,,,,,,
0, NickM538 Apple tell them how ya really feel ,,,,,,,,,,,,,,,,
-1, Oh Apple this is horrible packaging and shipping shame httptcoJaRpJYJ5Zu ,,,,,,,,,,,,,,,,
-1, apple iCal AGAIN it reset all my recurring in spite of months of individualizing each one per current date fail icloud sucking ,,,,,,,,,,,,,,,,
-1, RT chemixcalbieber WhoaBiebz GET YOUR SHIT TOGETHER OR ILL GUY A SAMSUNG GALAXY S5 APPLE httptcoLEHpmkxK0a ,,,,,,,,,,,,,,,,
0, angusdick yes had that exact issue Took it to apple for a free battery replacement Trackpad ended up being fine ,,,,,,,,,,,,,,,,
0, RedXPower ChristmasCount yeah and dont make them into tablets apple ,,,,,,,,,,,,,,,,
0, MaineNitin Good morning Looks like Ill be hanging at the Apple store with the students and snowbirds sometime this week ,,,,,,,,,,,,,,,,
1, if I tweet about NANDOS my phone puts it in caps I like the iPhone six it knows my favourite restaurant good phone GG apple ,,,,,,,,,,,,,,,,
-1, WTF MY BATTERY WAS 31 ONE SECOND AGO AND NOW IS 29 WTF IS THIS apple ,,,,,,,,,,,,,,,,
1, CNBCTV  Apple arguably most innovative company in world Pro aapl httptcoxWVD3zCkHu ,,,,,,,,,,,,,,,,
0, AAPLIs it time to start buying Apple?httptco5nulnjlbaG ,,,,,,,,,,,,,,,,
-1, CGK had laptop prob today  apple  Local  useless Tech support useless 1 hr at Genius Bar useless  Buy a PC next time? ,,,,,,,,,,,,,,,,
-1, Please Apple dont go the way Facebook has gone with their iOS release notes  We DESERVE to know whats happening with our gear ,,,,,,,,,,,,,,,,
-1, iTunes is pissing me tf off apple ,,,,,,,,,,,,,,,,
0, AAPL RT FortuneMagazine Alex Gauna flips his Apple bit sets Streethigh target of 150 httptcorsHjD9BrHp ,,,,,,,,,,,,,,,,
-1, FaZeNikan Apple lol iPhoneweak Get on that Lumia level bruh ,,,,,,,,,,,,,,,,
0, iPhone 6 Plus Captures 41 Phablet Sales in the US AAPL aapl httptcoafedrJ4EPr ,,,,,,,,,,,,,,,,
0, Apple Wants To Make Your Commute Much Easier According To This New Patent AAPL aapl httptcoFD6FCM2HQB ,,,,,,,,,,,,,,,,
-1, feel so lost with out my phone   apple iPhone 5 chargers are horrendous brokenchargerprobs ,,,,,,,,,,,,,,,,
0, Verr?cktes Ger?cht iPhone6s zum Apple Apple Watch Tuesday 2 December httptcoPGCaSLAnZa ,,,,,,,,,,,,,,,,
0, AAPLApple Loop iPhone 6S Rumors The Myth Of Steve Jobs Garage iPhone 6httptcoGwQ3JqikZd ,,,,,,,,,,,,,,,,
0, please make a gold macbook apple ,,,,,,,,,,,,,,,,
-1, apple why doesnt your people explain precautions when buying an expensive laptop ,,,,,,,,,,,,,,,,
0, AppleDec 5 Trading Daily Profit 157sh  Weekly Profits of 1836sh  aapl Stockaction trading Stocks MKt  httptco76R4rmUUNo ,,,,,,,,,,,,,,,,
0, Options Outlook Amid Heavy Week Of Economic Events httptcoJ7hj76F2sG AAPL GOOG GOOGL TSLA WMT PreMarket Markets ,,,,,,,,,,,,,,,,
0, Apple is reportedly hiring fashionfocused staff for its physical stores httptcoZoOnR3u5zV FTDaily FashionTech ,,,,,,,,,,,,,,,,
0, The Apple iWatch Changing the face of watches httptcoEtfTAT5K7x applenews iwatch gadgets ,,,,,,,,,,,,,,,,
0, Apple deleted rivals music from iPods court hears AAPL aapl httptco7xYurDyY7R ,,,,,,,,,,,,,,,,
0, DustynMichael got enough apple  products? httptconts3ebIxAL ,,,,,,,,,,,,,,,,
-1, apple why cant i fnd netbot on app store ? help ASAP ,,,,,,,,,,,,,,,,
-1, iTunes apple my music library wont sync new music etc iTunes tells me sync completed nothing new uploadedhow do I fix this? FRUSTRATING ,,,,,,,,,,,,,,,,
-1, CharlesJMeyer Apple AppyGeek Hasnt Apple been doing this for decades? This is why I dont support Apple apple deletegame ,,,,,,,,,,,,,,,,
-1, yo Apple  why yall make it so hard to grip the 6? ,,,,,,,,,,,,,,,,
-1, Apple makes bad chargers The apple genius said wrap it in electrical tape I wonder what Jony Ive thinks of that httptcoHvxSJUt39p ,,,,,,,,,,,,,,,,
-1, RT paisleysmithh Real tired of my charger breaking every month Apple ,,,,,,,,,,,,,,,,
-1, my dad called now my musics arent playing jesus christ apple problematic ,,,,,,,,,,,,,,,,
-1, Ok apple You win I wont use your browser anymore since it keeps closing on me Literally 8 times today I counted ,,,,,,,,,,,,,,,,
0, RT TeamCavuto Protesters stage DieIn protests in Apple store in NYC Is it me or is this anger misplaced? RETWEET if you agree ,,,,,,,,,,,,,,,,
0, l0lvivivuvu sextsatan Apple And replied livingthedream ~ARI ,,,,,,,,,,,,,,,,
-1, apple why is it that your iPhones alarm fails to work sometimes?? I missed 3 bonus points from a class because of this Sooooo annoyed ,,,,,,,,,,,,,,,,
-1, It would be nice if I could type more than one sentence without my computer freezing up Apple Microsoft Word Internet Everyone ,,,,,,,,,,,,,,,,
0, As Apple still struggles to meet iPhone 6 demand Canaccord raises price target to 135  AAPL aapl httptcoIrZI8Q8F9r ,,,,,,,,,,,,,,,,
0, Apple 113 matches 8 increase in earnings 2014Q3 EPS142 in  IOS App Donkey Stocks on your iPhone AAPL httpstco8CBUgrEHZS ,,,,,,,,,,,,,,,,
0, Apple Apple Patents An iPhone Drop Protection Mechanism That Changes Device  Tuesday 2 December httptcoWpnlcmBcSB ,,,,,,,,,,,,,,,,
0, Myths vs RealityFull Time Trading httptcoJH7BMS1Kgb stocks futures forex trader es aapl gpro eSignal httptcobFnkHl3EYx ,,,,,,,,,,,,,,,,
-1, you just did too much you asshole apple get your shit together ,,,,,,,,,,,,,,,,
-1, RT ehsonakbary THE WORLDS FIRST MURDER VIA FACETIME THANK YOU FOR THIS INNOVATION Apple httptcoRz8es3q3fj ,,,,,,,,,,,,,,,,
0, Whos Buying All Those New iPhones Anyway? AAPL aapl httptcooErygGHnsc ,,,,,,,,,,,,,,,,
0, RT HorseshoeBmore Holiday Giveaway To ensure you stay in touch on the go ck out brands like Apple amazon httptcov2GViV6qnh ,,,,,,,,,,,,,,,,
-1, Apple This was NORMAL use NO ABUSE Wrapped it exactly as you instructed me to This is a fire hazard You should replace it defective ,,,,,,,,,,,,,,,,
0, RT RaviMikkelsen HRHound MandoGallegos Nice If the actor had on an iWatch hed have the entire suite of Apple products sponsorDeal ,,,,,,,,,,,,,,,,
0, That moment EVERYTIME when walk out of Apple after purchase amp receipt is emailed amp think getting stopped or not MiniHeartAttack timcook ,,,,,,,,,,,,,,,,
1, Major crisis avoided apple You guys were able to restore my daughters  iPhone Great service thanks 5starservice ,,,,,,,,,,,,,,,,
-1, FUCK YOU apple FOR MAKING SHIT PRODUCTS ,,,,,,,,,,,,,,,,
0, Pop up BostonHoliday  UrbanNutcrackers RussellFerg amp krumpers are Apple Store in Boylston St 530pm today Dancing amp chat ,,,,,,,,,,,,,,,,
-1, apple had a dream last night where I downgraded my iPhone to a 4S and spent the rest of the dream trying to figure out what to do shame ,,,,,,,,,,,,,,,,
1, OneRepublic Apple HOW THEY LOOK THIS IS SO CUTE ,,,,,,,,,,,,,,,,
-1, I dont undestand how SYFNews CreditCare website doesnt work on Apple prodHad to request paper bills WhatYearIsIt poorcustomerservice ,,,,,,,,,,,,,,,,
-1, Dear apple replace my phone my battery sucks ,,,,,,,,,,,,,,,,
0, China reminds Apple on need to support privacy security in its products AAPL aapl httptco5ABnwWVQxh ,,,,,,,,,,,,,,,,
0, Nale When do you think parable will be accessible in France Apple AppStore ,,,,,,,,,,,,,,,,
-1, Oh apple why do I have to delete my unwanted photos eight times Once is enough I dont want a recently deleted folder ,,,,,,,,,,,,,,,,
1, The 10 biggest differences between Mac and PC  Yep Ill stick with my Mac apple httptcobxbjni5iHn apple LisaEadicicco ,,,,,,,,,,,,,,,,
-1, RT yungbaaz god dammit fuck you apple ,,,,,,,,,,,,,,,,
0, AAPL MT FortuneMagazine Can Apple clear name in ebooks drama? Eddy Cue says hed do it again but take better notes httptcoxCYyyJtK05 ,,,,,,,,,,,,,,,,
-1, Apple fix addis phone so we can text each other pls and thx ,,,,,,,,,,,,,,,,
1, Companies i admire  3QDigital vaynermedia apple It must rocks to work there because mainly of their boss and their culture ,,,,,,,,,,,,,,,,
